MINISTERUL PENTRU SOCIETATEA,,,,
INFORMATIONALA,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"199,186"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"7,995"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"67,233"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"3,010"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"55,000"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,100
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"5,348"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"60,500"
 5301  , , , CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE  ,"1,710"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"1,710"
 8501  , , , COMUNICATII  ,"197,476"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"7,995"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"67,233"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"1,300"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"55,000"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,100
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"5,348"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"60,500"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,